number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
2249,Replace '\uFEFF' with '!' for setInnerHTML to avoid UglifyJS bug,1411725534,1414235298,1414235296.0,syranide,0,1,closed,0,CONTRIBUTOR,8,0,0,0,0,0,0,0,0,0,7178.0,Cetrez,198,3,4,0,1336414389,1728197811
2250,Better SVG Support for namespaced attributes,1411732712,1651520876,1441132381.0,ledbruno,0,2,closed,0,NONE,33,22,0,0,0,0,0,0,0,22,165421.0,,15,4,17,0,1310682242,1728472888
2266,ReactDOMComponent should not accept children for void elements,1411898133,1430262005,1426026240.0,syranide,1,1,closed,0,CONTRIBUTOR,11,0,0,0,0,0,0,0,0,0,778096.0,Cetrez,198,3,4,0,1336414389,1728197811
2298, Safari 6 bug: Attempted to assign to readonly property.,1412676229,1444927785,1436393436.0,DKunin,0,1,closed,0,NONE,9,0,0,0,0,0,0,0,0,0,140338.0,Avito,51,200,157,39,1314037332,1727176882
2311,Avoid `Unkown runtime error` on IE8 script tag,1412816567,1459020099,1459020099.0,lrowe,0,3,closed,0,CONTRIBUTOR,9,0,0,0,0,0,0,0,0,0,330190.0,,80,0,128,19,1275157548,1713804261
2331,Nasty IE8 user input bug,1413146757,1477577755,1477577755.0,syranide,0,1,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,231350.0,Cetrez,198,3,4,0,1336414389,1728197811
2353,De-register null component flag for _rootNodeID when we remove a composite component.,1413378107,1416084523,1416084428.0,jenshz,0,1,closed,0,NONE,11,0,0,0,0,0,0,0,0,0,351328.0,,4,0,27,1,1290682955,1726224619
2380,Strange behaviour for SVG defs,1413729435,1458337521,1458337521.0,taddei,0,2,closed,0,NONE,9,0,0,0,0,0,0,0,0,0,421524.0,,10,0,41,0,1396814130,1718704560
2407,"Adding and then removing ""background"" from style attribute creates unwanted styles",1414150959,1440031113,1440031113.0,WickyNilliams,0,1,closed,0,CONTRIBUTOR,4,0,0,0,0,0,0,0,0,0,1745999.0,,436,11,70,10,1317341520,1725873606
2517,How to implement shouldComponentUpdate with this.context?,1415896958,1525745685,1516882793.0,gaearon,0,2,closed,0,COLLABORATOR,126,93,4,11,10,8,19,0,0,145,619995.0,@bluesky-social ,87893,173,274,78,1306347511,1729443293
2576,tests using React 0.12 and Jest-mocked sub-components result in different behavior when using jsx versus React.createFactory(),1416516953,1477577522,1477577522.0,awei01,0,2,closed,0,NONE,5,0,0,0,0,0,0,0,0,0,658441.0,,7,0,115,20,1353538086,1724119590
2620,"""Unable to find element"" error on <option> elements",1417175394,1470184997,1431624987.0,mmavko,0,3,closed,0,NONE,5,0,0,0,0,0,0,0,0,0,951009.0,@flexumio ,10,4,25,22,1316510648,1728587383
